deal_id,contact_id,deal_name,deal_stage,amount,created_date,close_date,owner
2,3,Analytics Dashboard Upgrade,qualification,18000.0,2024-01-12,2024-02-15,Alex Morgan
4,1,Workflow Automation Build,closed won,32000.0,2024-01-16,2024-02-02,Jamie Lee
7,4,HR Analytics Suite,closed lost,40000.0,2024-01-22,2024-02-01,Alex Morgan
8,2,Lead Scoring Model,qualification,12000.0,2024-01-24,2024-02-20,Jamie Lee
12,13,Sales Enablement Toolkit,qualification,16000.0,2024-02-03,2024-03-01,Jordan Smith
14,10,Pipeline Health Review,closed won,8000.0,2024-02-07,2024-02-25,Jamie Lee
17,18,Marketing Ops Automation,qualification,21000.0,2024-02-13,2024-03-10,Alex Morgan
19,17,Lead Routing Optimization,closed lost,9000.0,2024-02-17,2024-03-05,Jamie Lee
22,23,Attribution Model Build,qualification,17000.0,2024-02-23,2024-03-18,Alex Morgan
24,24,HR Workflow Automation,closed won,31000.0,2024-02-27,2024-03-12,Alex Morgan
27,27,CRM Custom Reporting,qualification,16000.0,2024-03-04,2024-04-01,Jamie Lee
29,29,Data Hygiene Overhaul,closed lost,10000.0,2024-03-08,2024-03-28,Jordan Smith
32,32,Engineering Workflow Optimization,qualification,20000.0,2024-03-14,2024-04-10,Alex Morgan
34,34,Revenue Insights Dashboard,closed won,27000.0,2024-03-18,2024-04-02,Jamie Lee
37,37,Sales Funnel Optimization,qualification,18000.0,2024-03-24,2024-04-20,Jamie Lee
39,39,Marketing Attribution Setup,closed lost,14000.0,2024-03-28,2024-04-15,Jordan Smith
42,42,Lead Scoring Model,qualification,12000.0,2024-04-03,2024-04-28,Jamie Lee
44,44,HR Analytics Suite,closed won,40000.0,2024-04-07,2024-04-25,Alex Morgan
47,47,Marketing Ops Automation,qualification,21000.0,2024-04-13,2024-05-10,Jamie Lee
49,49,Lead Routing Optimization,closed lost,9000.0,2024-04-17,2024-05-05,Jordan Smith
52,52,Attribution Model Build,qualification,17000.0,2024-04-23,2024-05-18,Alex Morgan
54,54,HR Workflow Automation,closed won,31000.0,2024-04-27,2024-05-12,Jordan Smith
57,57,CRM Custom Reporting,qualification,16000.0,2024-05-03,2024-06-01,Jordan Smith
59,59,Data Hygiene Overhaul,closed lost,10000.0,2024-05-07,2024-05-28,Alex Morgan
62,62,Engineering Workflow Optimization,qualification,20000.0,2024-05-13,2024-06-10,Alex Morgan
64,64,Revenue Insights Dashboard,closed won,27000.0,2024-05-17,2024-06-02,Jordan Smith
67,67,Sales Funnel Optimization,qualification,18000.0,2024-05-23,2024-06-20,Jamie Lee
69,69,Marketing Attribution Setup,closed lost,14000.0,2024-05-27,2024-06-15,Jordan Smith
72,72,Lead Scoring Model,qualification,12000.0,2024-06-02,2024-06-28,Jamie Lee
74,74,HR Analytics Suite,closed won,40000.0,2024-06-06,2024-06-25,Jordan Smith
77,77,Marketing Ops Automation,qualification,21000.0,2024-06-12,2024-07-10,Jordan Smith
79,79,Lead Routing Optimization,closed lost,9000.0,2024-06-16,2024-07-05,Alex Morgan
82,82,Attribution Model Build,qualification,17000.0,2024-06-22,2024-07-18,Jamie Lee
84,84,HR Workflow Automation,closed won,31000.0,2024-06-26,2024-07-12,Jordan Smith
87,87,CRM Custom Reporting,qualification,16000.0,2024-07-02,2024-08-01,Jordan Smith
89,89,Data Hygiene Overhaul,closed lost,10000.0,2024-07-06,2024-07-28,Alex Morgan
92,92,Engineering Workflow Optimization,qualification,20000.0,2024-07-12,2024-08-10,Alex Morgan
94,94,Revenue Insights Dashboard,closed won,27000.0,2024-07-16,2024-08-02,Jordan Smith
97,97,Sales Funnel Optimization,qualification,18000.0,2024-07-22,2024-08-20,Jamie Lee
99,99,Marketing Attribution Setup,closed lost,14000.0,2024-07-26,2024-08-15,Jordan Smith
102,102,Lead Scoring Model,qualification,12000.0,2024-08-01,2024-08-28,Jamie Lee
104,104,HR Analytics Suite,closed won,40000.0,2024-08-05,2024-08-25,Alex Morgan
107,107,Marketing Ops Automation,qualification,21000.0,2024-08-11,2024-09-10,Jamie Lee
109,109,Lead Routing Optimization,closed lost,9000.0,2024-08-15,2024-09-05,Jordan Smith
112,112,Attribution Model Build,qualification,17000.0,2024-08-21,2024-09-18,Alex Morgan
114,114,HR Workflow Automation,closed won,31000.0,2024-08-25,2024-09-12,Jordan Smith
117,117,CRM Custom Reporting,qualification,16000.0,2024-08-31,2024-10-01,Jordan Smith
119,119,Data Hygiene Overhaul,closed lost,10000.0,2024-09-04,2024-09-28,Alex Morgan
122,122,Engineering Workflow Optimization,qualification,20000.0,2024-09-10,2024-10-10,Alex Morgan
124,124,Revenue Insights Dashboard,closed won,27000.0,2024-09-14,2024-10-02,Jordan Smith
127,127,Sales Funnel Optimization,qualification,18000.0,2024-09-20,2024-10-20,Jamie Lee
129,129,Marketing Attribution Setup,closed lost,14000.0,2024-09-24,2024-10-15,Jordan Smith
132,132,Lead Scoring Model,qualification,12000.0,2024-09-30,2024-10-28,Jamie Lee
134,134,HR Analytics Suite,closed won,40000.0,2024-10-04,2024-10-25,Alex Morgan
137,137,Marketing Ops Automation,qualification,21000.0,2024-10-10,2024-11-10,Jamie Lee
139,139,Lead Routing Optimization,closed lost,9000.0,2024-10-14,2024-11-05,Jordan Smith
142,142,Attribution Model Build,qualification,17000.0,2024-10-20,2024-11-18,Alex Morgan
144,144,HR Workflow Automation,closed won,31000.0,2024-10-24,2024-11-12,Jordan Smith
147,147,CRM Custom Reporting,qualification,16000.0,2024-10-30,2024-12-01,Jordan Smith
149,149,Data Hygiene Overhaul,closed lost,10000.0,2024-11-03,2024-11-28,Alex Morgan
152,152,Engineering Workflow Optimization,qualification,20000.0,2024-11-09,2024-12-10,Alex Morgan
154,154,Revenue Insights Dashboard,closed won,27000.0,2024-11-13,2024-12-02,Jordan Smith
157,157,Sales Funnel Optimization,qualification,18000.0,2024-11-19,2024-12-20,Jamie Lee
159,159,Marketing Attribution Setup,closed lost,14000.0,2024-11-23,2024-12-15,Jordan Smith
162,162,Lead Scoring Model,qualification,12000.0,2024-11-29,2024-12-28,Jamie Lee
164,164,HR Analytics Suite,closed won,40000.0,2024-12-03,2024-12-25,Alex Morgan
167,167,Marketing Ops Automation,qualification,21000.0,2024-12-09,2025-01-10,Jamie Lee
169,169,Lead Routing Optimization,closed lost,9000.0,2024-12-13,2025-01-05,Jordan Smith
172,172,Attribution Model Build,qualification,17000.0,2024-12-19,2025-01-18,Alex Morgan
174,174,HR Workflow Automation,closed won,31000.0,2024-12-23,2025-01-12,Jordan Smith
177,177,CRM Custom Reporting,qualification,16000.0,2024-12-29,2025-02-01,Jordan Smith
179,179,Data Hygiene Overhaul,closed lost,10000.0,2025-01-02,2025-01-28,Alex Morgan
182,182,Engineering Workflow Optimization,qualification,20000.0,2025-01-08,2025-02-10,Alex Morgan
184,184,Revenue Insights Dashboard,closed won,27000.0,2025-01-12,2025-02-02,Jordan Smith
187,187,Sales Funnel Optimization,qualification,18000.0,2025-01-18,2025-02-20,Jamie Lee
189,189,Marketing Attribution Setup,closed lost,14000.0,2025-01-22,2025-02-15,Jordan Smith
192,192,Lead Scoring Model,qualification,12000.0,2025-01-28,2025-02-28,Jamie Lee
194,194,HR Analytics Suite,closed won,40000.0,2025-02-01,2025-02-25,Alex Morgan
197,197,Marketing Ops Automation,qualification,21000.0,2025-02-07,2025-03-10,Jamie Lee
199,199,Lead Routing Optimization,closed lost,9000.0,2025-02-11,2025-03-05,Jordan Smith
202,202,Attribution Model Build,qualification,17000.0,2025-02-17,2025-03-18,Alex Morgan
204,204,HR Workflow Automation,closed won,31000.0,2025-02-21,2025-03-12,Jordan Smith
207,207,CRM Custom Reporting,qualification,16000.0,2025-02-27,2025-04-01,Jordan Smith
209,209,Data Hygiene Overhaul,closed lost,10000.0,2025-03-03,2025-03-28,Alex Morgan
212,212,Engineering Workflow Optimization,qualification,20000.0,2025-03-09,2025-04-10,Alex Morgan
214,214,Revenue Insights Dashboard,closed won,27000.0,2025-03-13,2025-04-02,Jordan Smith
217,217,Sales Funnel Optimization,qualification,18000.0,2025-03-19,2025-04-20,Jamie Lee
219,219,Marketing Attribution Setup,closed lost,14000.0,2025-03-23,2025-04-15,Jordan Smith
222,222,Lead Scoring Model,qualification,12000.0,2025-03-29,2025-04-28,Jamie Lee
224,224,HR Analytics Suite,closed won,40000.0,2025-04-02,2025-04-25,Alex Morgan
227,227,Marketing Ops Automation,qualification,21000.0,2025-04-08,2025-05-10,Jamie Lee
229,229,Lead Routing Optimization,closed lost,9000.0,2025-04-12,2025-05-05,Jordan Smith
232,232,Attribution Model Build,qualification,17000.0,2025-04-18,2025-05-18,Alex Morgan
234,234,HR Workflow Automation,closed won,31000.0,2025-04-22,2025-05-12,Jordan Smith
237,237,CRM Custom Reporting,qualification,16000.0,2025-04-28,2025-06-01,Jordan Smith
239,239,Data Hygiene Overhaul,closed lost,10000.0,2025-05-02,2025-05-28,Alex Morgan
242,242,Engineering Workflow Optimization,qualification,20000.0,2025-05-08,2025-06-10,Alex Morgan
244,244,Revenue Insights Dashboard,closed won,27000.0,2025-05-12,2025-06-02,Jordan Smith
247,247,Sales Funnel Optimization,qualification,18000.0,2025-05-18,2025-06-20,Jamie Lee
249,249,Marketing Attribution Setup,closed lost,14000.0,2025-05-22,2025-06-15,Jordan Smith
252,2,Lead Scoring Model,qualification,12000.0,2025-05-28,2025-06-28,Jamie Lee
254,4,HR Analytics Suite,closed won,40000.0,2025-06-01,2025-06-25,Alex Morgan
257,7,Marketing Ops Automation,qualification,21000.0,2025-06-07,2025-07-10,Jamie Lee
259,9,Lead Routing Optimization,closed lost,9000.0,2025-06-11,2025-07-05,Jordan Smith
262,12,Attribution Model Build,qualification,17000.0,2025-06-17,2025-07-18,Alex Morgan
264,14,HR Workflow Automation,closed won,31000.0,2025-06-21,2025-07-12,Jordan Smith
267,17,CRM Custom Reporting,qualification,16000.0,2025-06-27,2025-08-01,Jordan Smith
269,19,Data Hygiene Overhaul,closed lost,10000.0,2025-07-01,2025-07-28,Alex Morgan
272,22,Engineering Workflow Optimization,qualification,20000.0,2025-07-07,2025-08-10,Alex Morgan
274,24,Revenue Insights Dashboard,closed won,27000.0,2025-07-11,2025-08-02,Jordan Smith
277,27,Sales Funnel Optimization,qualification,18000.0,2025-07-17,2025-08-20,Jamie Lee
279,29,Marketing Attribution Setup,closed lost,14000.0,2025-07-21,2025-08-15,Jordan Smith
282,32,Lead Scoring Model,qualification,12000.0,2025-07-27,2025-08-28,Jamie Lee
284,34,HR Analytics Suite,closed won,40000.0,2025-07-31,2025-08-25,Alex Morgan
287,37,Marketing Ops Automation,qualification,21000.0,2025-08-06,2025-09-10,Jamie Lee
289,39,Lead Routing Optimization,closed lost,9000.0,2025-08-10,2025-09-05,Jordan Smith
292,42,Attribution Model Build,qualification,17000.0,2025-08-16,2025-09-18,Alex Morgan
294,44,HR Workflow Automation,closed won,31000.0,2025-08-20,2025-09-12,Jordan Smith
297,47,CRM Custom Reporting,qualification,16000.0,2025-08-26,2025-10-01,Jordan Smith
299,49,Data Hygiene Overhaul,closed lost,10000.0,2025-08-30,2025-09-28,Alex Morgan
302,52,Engineering Workflow Optimization,qualification,20000.0,2025-09-05,2025-10-10,Alex Morgan
304,54,Revenue Insights Dashboard,closed won,27000.0,2025-09-09,2025-10-02,Jordan Smith
307,57,Sales Funnel Optimization,qualification,18000.0,2025-09-15,2025-10-20,Jamie Lee
309,59,Marketing Attribution Setup,closed lost,14000.0,2025-09-19,2025-10-15,Jordan Smith
312,62,Lead Scoring Model,qualification,12000.0,2025-09-25,2025-10-28,Jamie Lee
314,64,HR Analytics Suite,closed won,40000.0,2025-09-29,2025-10-25,Alex Morgan
317,67,Marketing Ops Automation,qualification,21000.0,2025-10-05,2025-11-10,Jamie Lee
319,69,Lead Routing Optimization,closed lost,9000.0,2025-10-09,2025-11-05,Jordan Smith
322,72,Attribution Model Build,qualification,17000.0,2025-10-15,2025-11-18,Alex Morgan
324,74,HR Workflow Automation,closed won,31000.0,2025-10-19,2025-11-12,Jordan Smith
327,77,CRM Custom Reporting,qualification,16000.0,2025-10-25,2025-12-01,Jordan Smith
329,79,Data Hygiene Overhaul,closed lost,10000.0,2025-10-29,2025-11-28,Alex Morgan
332,82,Engineering Workflow Optimization,qualification,20000.0,2025-11-04,2025-12-10,Alex Morgan
334,84,Revenue Insights Dashboard,closed won,27000.0,2025-11-08,2025-12-02,Jordan Smith
337,87,Sales Funnel Optimization,qualification,18000.0,2025-11-14,2025-12-20,Jamie Lee
339,89,Marketing Attribution Setup,closed lost,14000.0,2025-11-18,2025-12-15,Jordan Smith
342,92,Lead Scoring Model,qualification,12000.0,2025-11-24,2025-12-28,Jamie Lee
344,94,HR Analytics Suite,closed won,40000.0,2025-11-28,2025-12-25,Alex Morgan
347,97,Marketing Ops Automation,qualification,21000.0,2025-12-04,2026-01-10,Jamie Lee
349,99,Lead Routing Optimization,closed lost,9000.0,2025-12-08,2026-01-05,Jordan Smith
353,103,Marketing Ops Automation,qualification,21000.0,2025-12-16,2026-01-18,Jamie Lee
355,105,Lead Routing Optimization,closed lost,9000.0,2025-12-20,2026-01-12,Jordan Smith
358,108,Attribution Model Build,qualification,17000.0,2025-12-26,2026-01-28,Alex Morgan
360,110,HR Workflow Automation,closed won,31000.0,2025-12-30,2026-01-15,Jordan Smith
363,113,CRM Custom Reporting,qualification,16000.0,2026-01-05,2026-02-10,Jordan Smith
365,115,Data Hygiene Overhaul,closed lost,10000.0,2026-01-09,2026-02-05,Alex Morgan
368,118,Engineering Workflow Optimization,qualification,20000.0,2026-01-15,2026-02-20,Alex Morgan
370,120,Revenue Insights Dashboard,closed won,27000.0,2026-01-19,2026-02-12,Jordan Smith
373,123,Sales Funnel Optimization,qualification,18000.0,2026-01-25,2026-02-28,Jamie Lee
375,125,Marketing Attribution Setup,closed lost,14000.0,2026-01-29,2026-03-01,Jordan Smith
378,128,Lead Scoring Model,qualification,12000.0,2026-02-04,2026-03-05,Jamie Lee
380,130,HR Analytics Suite,closed won,40000.0,2026-02-08,2026-03-01,Alex Morgan
383,133,Marketing Ops Automation,qualification,21000.0,2026-02-14,2026-03-18,Jamie Lee
385,135,Lead Routing Optimization,closed lost,9000.0,2026-02-18,2026-03-10,Jordan Smith
388,138,Attribution Model Build,qualification,17000.0,2026-02-24,2026-03-28,Alex Morgan
390,140,HR Workflow Automation,closed won,31000.0,2026-02-28,2026-03-15,Jordan Smith
393,143,CRM Custom Reporting,qualification,16000.0,2026-03-06,2026-04-10,Jordan Smith
395,145,Data Hygiene Overhaul,closed lost,10000.0,2026-03-10,2026-04-05,Alex Morgan
398,148,Engineering Workflow Optimization,qualification,20000.0,2026-03-16,2026-04-20,Alex Morgan
400,150,Revenue Insights Dashboard,closed won,27000.0,2026-03-20,2026-04-12,Jordan Smith
403,153,Sales Funnel Optimization,qualification,18000.0,2026-03-26,2026-04-28,Jamie Lee
405,155,Marketing Attribution Setup,closed lost,14000.0,2026-03-30,2026-05-01,Jordan Smith
408,158,Lead Scoring Model,qualification,12000.0,2026-04-05,2026-05-05,Jamie Lee
410,160,HR Analytics Suite,closed won,40000.0,2026-04-09,2026-05-01,Alex Morgan
413,163,Marketing Ops Automation,qualification,21000.0,2026-04-15,2026-05-18,Jamie Lee
415,165,Lead Routing Optimization,closed lost,9000.0,2026-04-19,2026-05-10,Jordan Smith
418,168,Attribution Model Build,qualification,17000.0,2026-04-25,2026-05-28,Alex Morgan
420,170,HR Workflow Automation,closed won,31000.0,2026-04-29,2026-06-01,Jordan Smith
423,173,CRM Custom Reporting,qualification,16000.0,2026-05-05,2026-06-10,Jordan Smith
425,175,Data Hygiene Overhaul,closed lost,10000.0,2026-05-09,2026-06-05,Alex Morgan
428,178,Engineering Workflow Optimization,qualification,20000.0,2026-05-15,2026-06-20,Alex Morgan
430,180,Revenue Insights Dashboard,closed won,27000.0,2026-05-19,2026-06-12,Jordan Smith
433,183,Sales Funnel Optimization,qualification,18000.0,2026-05-25,2026-06-28,Jamie Lee
435,185,Marketing Attribution Setup,closed lost,14000.0,2026-05-29,2026-07-01,Jordan Smith
438,188,Lead Scoring Model,qualification,12000.0,2026-06-04,2026-07-05,Jamie Lee
440,190,HR Analytics Suite,closed won,40000.0,2026-06-08,2026-07-01,Alex Morgan
443,193,Marketing Ops Automation,qualification,21000.0,2026-06-14,2026-07-18,Jamie Lee
445,195,Lead Routing Optimization,closed lost,9000.0,2026-06-18,2026-07-10,Jordan Smith
448,198,Attribution Model Build,qualification,17000.0,2026-06-24,2026-07-28,Alex Morgan
450,200,HR Workflow Automation,closed won,31000.0,2026-06-28,2026-07-15,Jordan Smith
453,3,CRM Custom Reporting,qualification,16000.0,2026-07-04,2026-08-10,Jordan Smith
455,5,Data Hygiene Overhaul,closed lost,10000.0,2026-07-08,2026-08-05,Alex Morgan
458,8,Engineering Workflow Optimization,qualification,20000.0,2026-07-14,2026-08-20,Alex Morgan
460,10,Revenue Insights Dashboard,closed won,27000.0,2026-07-18,2026-08-12,Jordan Smith
463,13,Sales Funnel Optimization,qualification,18000.0,2026-07-24,2026-08-28,Jamie Lee
465,15,Marketing Attribution Setup,closed lost,14000.0,2026-07-28,2026-09-01,Jordan Smith
468,18,Lead Scoring Model,qualification,12000.0,2026-08-03,2026-09-05,Jamie Lee
470,20,HR Analytics Suite,closed won,40000.0,2026-08-07,2026-09-01,Alex Morgan
473,23,Marketing Ops Automation,qualification,21000.0,2026-08-13,2026-09-18,Jamie Lee
475,25,Lead Routing Optimization,closed lost,9000.0,2026-08-17,2026-09-10,Jordan Smith
478,28,Attribution Model Build,qualification,17000.0,2026-08-23,2026-09-28,Alex Morgan
480,30,HR Workflow Automation,closed won,31000.0,2026-08-27,2026-09-15,Jordan Smith
483,33,CRM Custom Reporting,qualification,16000.0,2026-09-02,2026-10-10,Jordan Smith
485,35,Data Hygiene Overhaul,closed lost,10000.0,2026-09-06,2026-10-05,Alex Morgan
488,38,Engineering Workflow Optimization,qualification,20000.0,2026-09-12,2026-10-20,Alex Morgan
490,40,Revenue Insights Dashboard,closed won,27000.0,2026-09-16,2026-10-12,Jordan Smith
493,43,Sales Funnel Optimization,qualification,18000.0,2026-09-22,2026-10-28,Jamie Lee
495,45,Marketing Attribution Setup,closed lost,14000.0,2026-09-26,2026-11-01,Jordan Smith
498,48,Lead Scoring Model,qualification,12000.0,2026-10-02,2026-11-05,Jamie Lee
500,50,HR Analytics Suite,closed won,40000.0,2026-10-06,2026-11-01,Alex Morgan
502,202,Marketing Attribution Setup,closed lost,14000.0,2026-07-02,2026-08-01,Jordan Smith
505,205,Lead Scoring Model,qualification,12000.0,2026-07-08,2026-08-05,Jamie Lee
507,207,HR Analytics Suite,closed won,40000.0,2026-07-12,2026-08-01,Alex Morgan
510,210,Marketing Ops Automation,qualification,21000.0,2026-07-18,2026-08-20,Jamie Lee
512,212,Lead Routing Optimization,closed lost,9000.0,2026-07-22,2026-08-15,Jordan Smith
515,215,Attribution Model Build,qualification,17000.0,2026-07-28,2026-08-28,Alex Morgan
517,217,HR Workflow Automation,closed won,31000.0,2026-08-01,2026-08-20,Jordan Smith
520,220,CRM Custom Reporting,qualification,16000.0,2026-08-07,2026-09-10,Jordan Smith
522,222,Data Hygiene Overhaul,closed lost,10000.0,2026-08-11,2026-09-05,Alex Morgan
525,225,Engineering Workflow Optimization,qualification,20000.0,2026-08-17,2026-09-20,Alex Morgan
527,227,Revenue Insights Dashboard,closed won,27000.0,2026-08-21,2026-09-12,Jordan Smith
530,230,Sales Funnel Optimization,qualification,18000.0,2026-08-27,2026-09-28,Jamie Lee
532,232,Marketing Attribution Setup,closed lost,14000.0,2026-08-31,2026-10-01,Jordan Smith
535,235,Lead Scoring Model,qualification,12000.0,2026-09-06,2026-10-05,Jamie Lee
537,237,HR Analytics Suite,closed won,40000.0,2026-09-10,2026-10-01,Alex Morgan
540,240,Marketing Ops Automation,qualification,21000.0,2026-09-16,2026-10-18,Jamie Lee
542,242,Lead Routing Optimization,closed lost,9000.0,2026-09-20,2026-10-15,Jordan Smith
545,245,Attribution Model Build,qualification,17000.0,2026-09-26,2026-10-28,Alex Morgan
547,247,HR Workflow Automation,closed won,31000.0,2026-09-30,2026-10-20,Jordan Smith
550,250,CRM Custom Reporting,qualification,16000.0,2026-10-06,2026-11-10,Jordan Smith
552,2,Data Hygiene Overhaul,closed lost,10000.0,2026-10-10,2026-11-05,Alex Morgan
555,5,Engineering Workflow Optimization,qualification,20000.0,2026-10-16,2026-11-20,Alex Morgan
557,7,Revenue Insights Dashboard,closed won,27000.0,2026-10-20,2026-11-12,Jordan Smith
560,10,Sales Funnel Optimization,qualification,18000.0,2026-10-26,2026-11-28,Jamie Lee
562,12,Marketing Attribution Setup,closed lost,14000.0,2026-10-30,2026-12-01,Jordan Smith
565,15,Lead Scoring Model,qualification,12000.0,2026-11-05,2026-12-05,Jamie Lee
567,17,HR Analytics Suite,closed won,40000.0,2026-11-09,2026-12-01,Alex Morgan
570,20,Marketing Ops Automation,qualification,21000.0,2026-11-15,2026-12-18,Jamie Lee
572,22,Lead Routing Optimization,closed lost,9000.0,2026-11-19,2026-12-15,Jordan Smith
575,25,Attribution Model Build,qualification,17000.0,2026-11-25,2026-12-28,Alex Morgan
577,27,HR Workflow Automation,closed won,31000.0,2026-11-29,2026-12-20,Jordan Smith
580,30,CRM Custom Reporting,qualification,16000.0,2026-12-05,2027-01-10,Jordan Smith
582,32,Data Hygiene Overhaul,closed lost,10000.0,2026-12-09,2027-01-05,Alex Morgan
585,35,Engineering Workflow Optimization,qualification,20000.0,2026-12-15,2027-01-20,Alex Morgan
587,37,Revenue Insights Dashboard,closed won,27000.0,2026-12-19,2027-01-12,Jordan Smith
590,40,Sales Funnel Optimization,qualification,18000.0,2026-12-25,2027-01-28,Jamie Lee
592,42,Marketing Attribution Setup,closed lost,14000.0,2026-12-29,2027-02-01,Jordan Smith
595,45,Lead Scoring Model,qualification,12000.0,2027-01-04,2027-02-05,Jamie Lee
597,47,HR Analytics Suite,closed won,40000.0,2027-01-08,2027-02-01,Alex Morgan
600,50,Marketing Ops Automation,qualification,21000.0,2027-01-14,2027-02-18,Jamie Lee
602,52,Lead Routing Optimization,closed lost,9000.0,2027-01-18,2027-02-15,Jordan Smith
605,55,Attribution Model Build,qualification,17000.0,2027-01-24,2027-02-28,Alex Morgan
607,57,HR Workflow Automation,closed won,31000.0,2027-01-28,2027-02-20,Jordan Smith
610,60,CRM Custom Reporting,qualification,16000.0,2027-02-03,2027-03-10,Jordan Smith
612,62,Data Hygiene Overhaul,closed lost,10000.0,2027-02-07,2027-03-05,Alex Morgan
615,65,Engineering Workflow Optimization,qualification,20000.0,2027-02-13,2027-03-20,Alex Morgan
617,67,Revenue Insights Dashboard,closed won,27000.0,2027-02-17,2027-03-12,Jordan Smith
620,70,Sales Funnel Optimization,qualification,18000.0,2027-02-23,2027-03-28,Jamie Lee
622,72,Marketing Attribution Setup,closed lost,14000.0,2027-02-27,2027-04-01,Jordan Smith
625,75,Lead Scoring Model,qualification,12000.0,2027-03-05,2027-04-05,Jamie Lee
627,77,HR Analytics Suite,closed won,40000.0,2027-03-09,2027-04-01,Alex Morgan
630,80,Marketing Ops Automation,qualification,21000.0,2027-03-15,2027-04-18,Jamie Lee
632,82,Lead Routing Optimization,closed lost,9000.0,2027-03-19,2027-04-15,Jordan Smith
635,85,Attribution Model Build,qualification,17000.0,2027-03-25,2027-04-28,Alex Morgan
637,87,HR Workflow Automation,closed won,31000.0,2027-03-29,2027-04-20,Jordan Smith
640,90,CRM Custom Reporting,qualification,16000.0,2027-04-04,2027-05-10,Jordan Smith
642,92,Data Hygiene Overhaul,closed lost,10000.0,2027-04-08,2027-05-05,Alex Morgan
645,95,Engineering Workflow Optimization,qualification,20000.0,2027-04-14,2027-05-20,Alex Morgan
647,97,Revenue Insights Dashboard,closed won,27000.0,2027-04-18,2027-05-12,Jordan Smith
650,100,Sales Funnel Optimization,qualification,18000.0,2027-04-24,2027-05-28,Jamie Lee
